Date,Open,High,Low,Close,Volume
21-Jun-11,135.50,137.19,134.30,135.96,4213300
20-Jun-11,136.42,136.73,134.36,135.14,4021799
17-Jun-11,137.83,138.79,137.21,137.23,6768521
16-Jun-11,134.63,136.89,134.15,136.09,5230680
15-Jun-11,136.07,137.59,134.01,134.85,5715291
14-Jun-11,138.20,138.95,136.54,137.10,5850046
13-Jun-11,136.13,137.97,135.92,137.53,5273694
10-Jun-11,133.21,137.25,132.52,135.92,7557273
9-Jun-11,131.99,135.10,131.83,133.53,4499096
8-Jun-11,132.63,134.89,131.50,131.59,6796246
7-Jun-11,134.38,135.76,132.99,132.99,6200364
6-Jun-11,134.75,135.22,133.14,133.90,5287937
3-Jun-11,132.98,137.17,132.89,135.33,5457937
2-Jun-11,136.65,136.73,131.50,134.38,12423522
1-Jun-11,139.95,140.00,136.10,136.17,6772506
31-May-11,140.82,142.30,135.23,140.73,7023566
27-May-11,138.66,138.66,138.66,138.66,0
26-May-11,136.20,136.70,135.34,136.26,5334485
25-May-11,135.67,137.59,135.51,136.24,6529663
24-May-11,136.27,136.76,135.03,136.34,6605559
23-May-11,133.64,137.19,133.64,135.84,8407529
20-May-11,138.18,139.64,134.79,134.99,11291555
19-May-11,141.23,141.30,138.43,139.34,7334180
18-May-11,140.94,141.82,140.21,140.84,4775217
17-May-11,140.26,141.95,139.08,140.81,7079352
16-May-11,140.89,143.39,140.26,140.60,6458927
13-May-11,142.39,142.52,139.25,141.46,14261474
12-May-11,145.99,146.78,140.66,142.75,20661240
11-May-11,150.00,150.00,147.65,147.88,5311848
10-May-11,149.02,150.74,148.52,150.40,4036137
9-May-11,149.70,149.87,148.80,149.12,3155261
6-May-11,151.47,151.97,149.53,150.10,5431637
5-May-11,150.87,151.22,149.95,150.41,4103334
4-May-11,152.25,152.46,150.95,151.52,3769057
3-May-11,150.97,152.80,150.68,151.87,3559048
2-May-11,152.20,153.07,151.01,151.30,4364055
29-Apr-11,150.28,151.87,149.64,151.01,6076194
28-Apr-11,152.55,152.60,150.20,150.60,5908475
27-Apr-11,153.60,153.85,152.00,152.86,4207655
26-Apr-11,151.89,153.95,151.78,153.27,4370755
25-Apr-11,152.58,152.59,151.18,152.19,3712444
21-Apr-11,153.51,153.51,153.51,153.51,0
20-Apr-11,153.17,154.15,151.50,152.70,7190890
19-Apr-11,156.09,156.10,149.55,151.86,13470807
18-Apr-11,154.05,154.88,151.52,153.78,5997941
15-Apr-11,156.18,156.95,154.63,155.13,5609029
14-Apr-11,157.51,157.60,155.25,155.79,7982308
13-Apr-11,162.50,163.98,159.83,160.17,5145536
12-Apr-11,160.25,161.44,159.45,160.42,3330748
11-Apr-11,160.54,162.91,160.54,161.47,3128638
8-Apr-11,163.49,163.62,160.82,160.96,3281483
7-Apr-11,161.99,164.40,161.57,162.40,4589588
6-Apr-11,159.89,161.99,158.86,161.89,4199946
5-Apr-11,158.46,159.15,157.62,158.91,3175262
4-Apr-11,160.76,160.88,158.60,158.90,2822050
1-Apr-11,159.77,162.00,159.66,160.23,3792343
31-Mar-11,157.38,160.07,157.32,158.60,3319661
30-Mar-11,159.03,160.43,157.47,159.07,2967727
29-Mar-11,156.60,158.70,155.53,158.47,3774030
28-Mar-11,158.20,159.29,156.41,156.47,3689595
25-Mar-11,160.51,160.51,157.70,157.97,4021739
24-Mar-11,160.35,160.50,158.83,159.91,2735487
23-Mar-11,160.02,160.23,158.24,159.53,3604339
22-Mar-11,160.64,162.21,160.12,160.79,3540500
21-Mar-11,161.62,162.15,159.90,160.21,4664016
18-Mar-11,156.60,160.25,155.24,159.96,10172934
17-Mar-11,155.93,156.35,153.95,155.75,5296153
16-Mar-11,157.23,157.24,153.26,154.38,7230714
15-Mar-11,156.06,158.05,154.85,157.25,5250450
14-Mar-11,159.94,160.50,158.02,158.43,4378159
11-Mar-11,159.85,161.55,159.84,160.68,2885310
10-Mar-11,160.80,161.00,159.99,160.27,4565194
9-Mar-11,161.85,163.72,161.58,162.35,4126238
8-Mar-11,159.43,161.78,159.04,161.30,4846420
7-Mar-11,161.41,161.84,158.50,159.15,7006515
4-Mar-11,162.88,163.00,160.36,161.00,7812311
3-Mar-11,162.71,165.18,162.69,164.49,4583671
2-Mar-11,161.58,163.33,161.11,161.69,4658549
1-Mar-11,163.55,164.49,161.30,161.31,7016859
28-Feb-11,165.53,166.25,163.11,163.78,4237243
25-Feb-11,164.05,165.88,163.52,165.12,4636791
24-Feb-11,162.20,163.90,161.32,163.44,4624311
23-Feb-11,162.63,164.80,161.77,163.09,4562512
22-Feb-11,165.67,165.76,162.35,162.94,5448637
18-Feb-11,168.04,168.04,168.04,168.04,0
17-Feb-11,168.54,168.69,167.00,167.16,4449899
16-Feb-11,168.56,169.90,168.00,168.81,4609262
15-Feb-11,167.32,168.44,166.82,167.91,4026516
14-Feb-11,166.15,167.80,165.51,167.52,3549511
11-Feb-11,165.11,167.69,164.81,166.66,4260926
10-Feb-11,165.15,166.65,164.68,165.34,4267265
9-Feb-11,168.23,168.23,164.66,166.01,5669980
8-Feb-11,167.02,168.72,166.26,168.55,4720719
7-Feb-11,164.79,168.10,164.60,167.13,5040460
4-Feb-11,164.88,164.98,162.76,164.83,3355741
3-Feb-11,164.99,164.99,161.84,164.64,4715205
2-Feb-11,165.15,166.64,164.20,165.05,2987254
1-Feb-11,163.86,166.25,163.61,165.33,4143189
31-Jan-11,161.38,163.72,161.23,163.62,3799023
28-Jan-11,164.16,165.09,161.42,161.77,4571432
27-Jan-11,161.13,164.25,161.11,164.03,6039000
26-Jan-11,161.70,162.84,161.04,161.31,6741559
25-Jan-11,163.05,164.79,160.12,161.98,11259730
24-Jan-11,165.99,167.07,165.75,166.30,4630918
21-Jan-11,165.88,169.20,165.12,166.20,5878551
20-Jan-11,166.55,167.06,164.01,165.69,8918942
19-Jan-11,169.46,171.49,165.86,166.49,13372654
18-Jan-11,174.75,175.34,173.05,174.68,4984039
14-Jan-11,175.00,175.00,175.00,175.00,0
13-Jan-11,172.04,172.60,171.00,171.57,3183720
12-Jan-11,169.39,172.31,169.18,171.67,5594834
11-Jan-11,170.50,171.42,168.32,169.36,4572242
10-Jan-11,170.00,171.29,169.20,169.76,3657840
7-Jan-11,172.70,172.89,169.36,170.69,4917488
6-Jan-11,174.51,174.59,171.98,172.21,5376047
5-Jan-11,172.05,174.49,172.00,174.00,4146974
4-Jan-11,173.87,174.00,172.00,173.08,3336094
3-Jan-11,170.55,173.25,169.85,173.05,5719247
31-Dec-10,167.58,168.80,167.01,168.16,1637111
30-Dec-10,168.09,168.25,166.99,167.64,1745709
29-Dec-10,169.40,169.78,166.57,167.63,3338091
28-Dec-10,170.00,171.23,168.83,169.19,2864681
27-Dec-10,166.79,170.00,166.41,169.83,2718713
23-Dec-10,167.60,167.60,167.60,167.60,0
22-Dec-10,168.67,169.68,167.90,169.60,3858649
21-Dec-10,166.54,168.88,166.50,168.23,4553171
20-Dec-10,163.74,166.90,163.65,166.05,3725655
17-Dec-10,163.92,165.00,163.12,164.04,5346810
16-Dec-10,165.69,165.91,163.21,164.46,4164421
15-Dec-10,166.64,167.29,165.11,165.21,4358875
14-Dec-10,169.67,169.99,166.84,167.33,4894491
13-Dec-10,168.25,170.92,167.90,169.48,5333627
10-Dec-10,166.41,168.47,165.90,168.47,4543771
9-Dec-10,167.00,167.75,165.75,166.45,5747520
8-Dec-10,161.96,166.14,161.89,166.14,5259483
7-Dec-10,164.52,164.77,161.44,161.59,5529061
6-Dec-10,161.66,163.19,161.49,162.65,3689426
3-Dec-10,161.31,162.50,160.95,162.31,4658480
2-Dec-10,159.16,163.25,158.84,162.50,7201608
1-Dec-10,158.45,159.20,157.00,158.45,6031420
30-Nov-10,158.07,159.33,156.14,156.14,5426888
29-Nov-10,157.49,160.00,157.00,159.28,4819914
26-Nov-10,158.46,159.35,158.07,158.22,1876842
24-Nov-10,160.26,160.26,160.26,160.26,0
23-Nov-10,159.10,160.90,157.66,157.78,7314967
22-Nov-10,164.30,164.38,158.45,161.05,11363929
19-Nov-10,167.50,167.75,165.70,166.67,4586998
18-Nov-10,165.69,168.93,165.60,167.35,4987973
17-Nov-10,165.12,165.73,164.00,164.89,3729814
16-Nov-10,165.80,167.00,164.66,165.10,5921382
15-Nov-10,165.68,169.35,165.01,167.22,5205268
12-Nov-10,166.39,168.12,164.65,165.83,4742507
11-Nov-10,165.79,168.89,165.79,167.71,3933054
10-Nov-10,166.31,168.65,165.57,167.22,6333143
9-Nov-10,170.30,170.85,166.00,166.55,7351751
8-Nov-10,169.95,171.61,169.10,169.20,5518638
5-Nov-10,165.99,171.18,165.92,171.07,11989211
4-Nov-10,163.62,166.40,162.69,166.39,8163835
3-Nov-10,163.18,163.18,160.57,162.63,4464701
2-Nov-10,162.06,163.00,161.80,162.82,3335019
1-Nov-10,161.77,162.96,160.17,161.57,4516161
29-Oct-10,162.15,163.60,160.95,161.13,4541916
28-Oct-10,160.86,163.79,160.44,163.24,9918773
27-Oct-10,157.19,160.59,157.00,160.15,6580862
26-Oct-10,156.72,158.73,156.53,158.29,4075492
25-Oct-10,159.36,159.45,156.27,157.39,5729368
22-Oct-10,159.89,159.98,157.50,157.76,4052041
21-Oct-10,159.58,161.50,158.10,159.30,6360834
20-Oct-10,156.21,160.25,154.86,159.60,10631144
19-Oct-10,155.14,159.70,153.84,156.72,14499876
18-Oct-10,150.93,154.38,150.85,153.70,6984071
15-Oct-10,152.69,152.69,150.66,150.69,6902873
14-Oct-10,154.23,154.29,150.55,151.59,6891082
13-Oct-10,156.30,156.69,154.39,154.73,5631455
12-Oct-10,151.30,155.45,151.01,155.21,6377921
11-Oct-10,152.67,153.09,151.27,152.20,4456412
8-Oct-10,151.15,153.40,150.62,152.66,5225059
7-Oct-10,152.11,152.36,150.03,151.11,4476194
6-Oct-10,149.75,152.33,149.13,150.84,6338807
5-Oct-10,147.56,150.28,146.07,149.57,8729841
4-Oct-10,147.70,148.47,144.70,146.57,5873999
1-Oct-10,145.20,148.50,144.82,147.70,7439742
30-Sep-10,145.25,146.98,144.30,144.58,6854687
29-Sep-10,145.02,145.02,142.54,144.42,6950389
28-Sep-10,146.51,146.69,144.06,145.01,5506414
27-Sep-10,147.01,148.41,145.78,146.00,5205948
24-Sep-10,146.25,147.60,145.82,147.28,5623690
23-Sep-10,146.36,146.87,143.98,144.91,9154000
22-Sep-10,149.95,150.55,147.69,148.07,8986866
21-Sep-10,152.11,154.57,151.09,151.40,6884066
20-Sep-10,150.98,152.40,149.89,151.90,5641405
17-Sep-10,152.11,152.47,150.56,150.98,4841057
16-Sep-10,152.28,152.48,151.16,152.23,4394077
15-Sep-10,151.67,152.80,150.67,152.56,5699498
14-Sep-10,153.54,153.75,152.23,152.53,5689339
13-Sep-10,152.32,154.70,152.30,154.37,7661788
10-Sep-10,149.46,150.75,148.81,150.39,4421629
9-Sep-10,149.79,150.68,148.50,149.14,6737912
8-Sep-10,145.38,149.66,145.36,147.54,8310204
7-Sep-10,146.15,146.24,144.15,145.21,6211857
6-Sep-10,147.29,147.29,147.29,147.29,0
3-Sep-10,147.29,147.29,147.29,147.29,0
2-Sep-10,139.93,140.15,138.45,139.78,4999659
1-Sep-10,139.01,140.34,137.80,139.74,6897692
31-Aug-10,136.25,138.01,135.79,136.63,7066220
30-Aug-10,138.83,140.11,136.65,136.66,6205717
27-Aug-10,141.13,141.74,138.25,139.75,11252664
26-Aug-10,144.94,145.16,141.66,141.81,6819104
25-Aug-10,142.81,145.33,142.75,144.68,5641742
24-Aug-10,144.80,145.49,143.82,143.95,6374001
23-Aug-10,148.12,148.50,146.60,146.74,3729719
20-Aug-10,147.44,148.97,147.25,148.24,5277121
19-Aug-10,148.67,149.66,146.28,147.05,5292050
18-Aug-10,148.54,149.94,147.73,149.20,4461519
17-Aug-10,148.68,149.79,148.14,148.59,4393052
16-Aug-10,147.58,149.18,147.00,147.76,3764044
13-Aug-10,149.38,150.45,148.08,148.08,4225453
12-Aug-10,147.81,150.59,147.81,149.42,4957374
11-Aug-10,151.72,152.00,148.91,149.25,7737320
10-Aug-10,154.02,154.77,153.18,153.90,5867378
9-Aug-10,155.93,156.20,154.59,155.40,4210209
6-Aug-10,154.54,156.06,153.77,155.18,8083004
5-Aug-10,155.63,156.22,154.40,155.92,5682566
4-Aug-10,153.62,157.25,153.00,156.41,12289451
3-Aug-10,152.12,153.96,151.41,153.19,5654183
2-Aug-10,152.82,153.64,151.61,152.74,6532904
30-Jul-10,151.35,153.41,150.80,150.82,8805276
29-Jul-10,148.27,153.15,147.63,152.58,15683142
28-Jul-10,147.00,148.65,146.78,147.20,4846297
27-Jul-10,149.09,149.66,147.00,147.23,7153238
26-Jul-10,147.39,149.00,145.21,148.20,6093296
23-Jul-10,146.65,148.41,144.57,147.38,7310069
22-Jul-10,148.88,149.88,144.16,146.55,13312475
21-Jul-10,150.05,150.97,146.86,146.99,11345450
20-Jul-10,142.18,149.73,141.55,148.91,20577825
19-Jul-10,147.67,147.70,144.10,145.68,10875876
16-Jul-10,151.47,152.00,146.05,146.17,29604581
15-Jul-10,140.02,146.25,137.82,145.22,21621842
14-Jul-10,139.29,139.59,137.66,139.06,6069204
13-Jul-10,138.50,141.20,138.11,140.25,8983815
12-Jul-10,137.61,138.31,136.03,137.25,4737381
9-Jul-10,135.36,138.50,134.59,138.06,6922280
8-Jul-10,136.92,137.17,133.56,135.46,9896908
7-Jul-10,132.44,136.13,132.07,135.83,9302583
6-Jul-10,133.74,134.39,131.07,132.26,7821698
5-Jul-10,131.08,131.08,131.08,131.08,0
2-Jul-10,131.08,131.08,131.08,131.08,0
1-Jul-10,131.69,133.75,129.50,131.14,11648608
30-Jun-10,133.68,134.30,131.02,131.27,9148289
29-Jun-10,134.98,135.85,133.17,133.76,10339819
28-Jun-10,140.38,140.38,136.53,136.66,9910978
25-Jun-10,136.99,140.90,135.42,139.66,14341596
24-Jun-10,134.14,135.98,133.11,134.98,9998910
23-Jun-10,133.90,136.38,132.73,135.07,8232474
22-Jun-10,137.54,137.75,134.59,134.79,9008840
21-Jun-10,139.64,140.15,137.31,137.74,8694312
18-Jun-10,137.82,139.72,137.52,138.18,10159125
17-Jun-10,136.95,138.38,135.22,137.32,8106454
16-Jun-10,136.06,138.26,135.71,137.06,7080797
15-Jun-10,134.63,137.40,133.30,136.90,10654108
14-Jun-10,137.11,137.11,133.40,133.44,10958006
11-Jun-10,133.33,136.05,133.00,135.64,9241746
10-Jun-10,137.60,137.77,131.30,133.77,21930904
9-Jun-10,138.59,139.42,136.22,136.80,8955872
8-Jun-10,139.14,139.68,135.05,137.78,14586924
7-Jun-10,142.28,143.27,137.85,138.68,12238566
4-Jun-10,142.17,145.87,141.71,142.25,14922132
3-Jun-10,144.91,145.25,142.50,144.04,7457402
2-Jun-10,142.00,145.00,141.14,144.83,7673686
1-Jun-10,144.26,146.40,141.70,141.86,9462318
31-May-10,144.26,144.26,144.26,144.26,0
28-May-10,144.26,144.26,144.26,144.26,0
27-May-10,142.93,145.05,141.04,144.95,12910136
26-May-10,144.28,145.80,139.69,140.30,17080490
25-May-10,134.73,143.19,134.20,142.56,21490803
24-May-10,142.00,142.95,136.51,136.69,16580328
21-May-10,137.08,143.45,136.25,140.62,25553374
20-May-10,138.20,139.49,135.75,136.10,16279274
19-May-10,137.95,140.13,136.10,140.10,18087140
18-May-10,143.69,143.75,136.60,137.36,18025541
17-May-10,143.47,144.30,138.53,142.64,16337950
14-May-10,143.41,144.15,141.90,143.23,10982599
13-May-10,148.36,148.45,144.42,144.65,11525733
12-May-10,144.24,147.65,142.28,147.20,15456965
11-May-10,142.40,145.50,141.55,141.97,15497855
10-May-10,149.09,149.90,141.20,143.83,23106856
7-May-10,145.38,146.55,141.50,142.99,21268446
6-May-10,147.48,148.63,139.06,142.32,22983377
5-May-10,148.10,151.22,147.20,148.19,18355115
4-May-10,149.03,152.35,147.83,149.45,30313386
3-May-10,147.84,150.65,146.53,149.50,28282690
30-Apr-10,151.90,152.50,143.30,145.20,73187804
29-Apr-10,159.55,161.05,158.34,160.24,18464219
28-Apr-10,156.66,157.65,154.69,157.01,21226053
27-Apr-10,150.25,156.19,150.15,153.04,34516793
26-Apr-10,156.72,156.99,151.52,152.03,30940641
23-Apr-10,160.19,160.72,157.00,157.40,14915918
22-Apr-10,157.93,162.00,156.29,159.05,24832945
21-Apr-10,161.67,163.14,157.00,158.93,30385643
20-Apr-10,166.44,166.71,158.00,159.98,42196524
19-Apr-10,155.60,163.73,155.00,163.32,54299112
16-Apr-10,183.62,186.41,155.55,160.70,102044993
15-Apr-10,185.54,185.60,183.66,184.27,7841950
14-Apr-10,183.91,185.94,183.07,184.92,12559543
13-Apr-10,177.56,180.00,177.11,179.25,6467785
12-Apr-10,179.36,180.38,177.84,177.84,6042226
9-Apr-10,180.28,181.00,177.50,179.12,8465296
8-Apr-10,176.10,180.80,175.28,179.50,10668741
7-Apr-10,172.89,177.90,172.81,176.36,13888151
6-Apr-10,172.61,173.89,172.15,172.90,7745506
5-Apr-10,170.68,173.37,169.77,173.16,6137584
2-Apr-10,170.22,170.22,170.22,170.22,0
1-Apr-10,170.22,170.22,170.22,170.22,0
31-Mar-10,170.00,171.66,169.85,170.63,8245706
30-Mar-10,174.26,174.78,170.70,171.38,8186068
29-Mar-10,173.87,174.43,171.64,174.05,11787153
26-Mar-10,175.38,175.48,171.91,172.87,11815436
25-Mar-10,175.24,178.73,174.78,174.90,9535070
24-Mar-10,173.64,175.96,173.64,174.41,8403097
23-Mar-10,176.25,176.81,173.29,174.83,10810763
22-Mar-10,176.21,176.95,175.23,176.16,7320365
19-Mar-10,178.19,178.21,175.95,177.90,10896531
18-Mar-10,176.20,177.75,175.66,177.45,6890076
17-Mar-10,176.86,177.88,175.57,176.64,10142893
16-Mar-10,174.33,176.42,173.56,176.19,11691266
15-Mar-10,173.95,175.20,170.38,173.53,13962000
12-Mar-10,175.01,176.34,174.00,174.96,10219733
11-Mar-10,171.40,173.57,171.10,173.51,9075235
10-Mar-10,170.26,172.34,168.87,171.94,13109056
9-Mar-10,169.22,172.20,168.00,168.85,12964485
8-Mar-10,167.88,170.69,167.46,169.84,9350334
5-Mar-10,165.11,168.25,165.00,167.18,12229015
4-Mar-10,158.25,163.85,158.11,163.61,15442493
3-Mar-10,159.04,159.45,157.23,157.72,10007994
2-Mar-10,157.18,159.75,156.91,158.75,11995851
1-Mar-10,156.51,158.29,156.17,156.54,6526759
26-Feb-10,156.26,156.99,155.26,156.35,7813025
25-Feb-10,156.23,156.44,154.32,156.44,10522247
24-Feb-10,157.34,159.25,156.87,158.33,8367274
23-Feb-10,156.81,160.21,155.91,156.70,15698122
22-Feb-10,157.20,157.97,156.03,156.71,7376850
19-Feb-10,154.51,157.00,154.49,156.18,8693387
18-Feb-10,155.61,156.59,154.88,155.73,10998711
17-Feb-10,158.00,158.19,155.81,157.26,10071776
16-Feb-10,155.30,157.74,154.60,157.40,11501092
15-Feb-10,153.93,153.93,153.93,153.93,0
12-Feb-10,153.93,153.93,153.93,153.93,0
11-Feb-10,154.40,155.32,152.25,154.05,11166069
10-Feb-10,152.77,155.35,151.76,153.63,10558206
9-Feb-10,152.70,153.53,149.65,152.49,14021791
8-Feb-10,154.27,154.60,150.82,151.10,10260553
5-Feb-10,150.82,154.46,148.87,154.16,18759121
4-Feb-10,155.27,156.06,150.45,150.68,18894955
3-Feb-10,157.92,159.94,157.11,157.23,16789855
2-Feb-10,153.65,157.50,153.65,156.94,17301460
1-Feb-10,149.82,155.25,149.21,153.13,12980767
29-Jan-10,154.44,154.88,147.81,148.72,18507263
28-Jan-10,154.23,155.20,149.95,153.29,16163117
27-Jan-10,150.75,152.93,148.27,151.50,19901885
26-Jan-10,154.91,156.50,150.70,150.88,15989492
25-Jan-10,156.13,158.30,154.50,154.98,17876989
22-Jan-10,158.69,159.75,152.25,154.12,30175582
21-Jan-10,169.29,171.00,156.77,160.87,51738223
20-Jan-10,165.80,168.18,164.32,167.79,8893890
19-Jan-10,165.01,167.40,163.90,166.86,7705236
18-Jan-10,165.21,165.21,165.21,165.21,0
15-Jan-10,165.21,165.21,165.21,165.21,0
14-Jan-10,168.00,170.72,167.21,168.53,10526732
13-Jan-10,168.01,169.67,166.12,169.07,11271202
12-Jan-10,170.01,170.48,167.03,167.82,10362621
11-Jan-10,175.06,175.06,170.52,171.56,7714455
8-Jan-10,176.33,177.43,173.95,174.31,7270763
7-Jan-10,174.32,178.75,173.95,177.67,8727377
6-Jan-10,175.38,175.38,173.76,174.26,7382071
5-Jan-10,173.00,176.26,172.57,176.14,11667885
4-Jan-10,170.05,174.25,169.51,173.08,9138979
1-Jan-10,168.84,168.84,168.84,168.84,0
31-Dec-09,168.84,168.84,168.84,168.84,0
30-Dec-09,164.06,167.28,163.69,166.70,5998950
29-Dec-09,164.50,165.20,163.21,164.12,5218097
28-Dec-09,164.10,165.71,163.46,163.76,3586040
25-Dec-09,163.97,163.97,163.97,163.97,0
24-Dec-09,164.00,164.90,163.31,163.97,1858019
23-Dec-09,165.06,165.80,163.39,163.63,4053809
22-Dec-09,165.50,166.30,164.50,164.60,4191820
21-Dec-09,163.79,166.75,163.42,165.45,9397782
18-Dec-09,161.81,163.38,160.20,163.19,8693056
17-Dec-09,162.31,163.62,160.83,160.93,8952496
16-Dec-09,163.85,165.89,163.07,164.99,8640756
15-Dec-09,164.81,166.00,162.11,162.74,7542354
14-Dec-09,166.48,166.50,163.86,166.10,6656583
11-Dec-09,167.54,167.95,165.42,166.00,6429449
10-Dec-09,166.69,167.94,164.16,166.73,11932541
9-Dec-09,162.13,167.05,160.72,166.44,10982649
8-Dec-09,163.12,164.10,161.05,161.84,11696156
7-Dec-09,166.52,167.36,163.76,163.85,6656130
4-Dec-09,167.50,167.80,163.53,167.24,10411231
3-Dec-09,167.95,169.16,163.94,164.30,8022704
2-Dec-09,167.65,167.81,165.57,166.66,7500197
1-Dec-09,171.25,171.33,167.07,167.63,13495269
30-Nov-09,165.47,169.99,164.77,169.66,10702000
27-Nov-09,164.27,166.30,163.22,164.16,6883185
26-Nov-09,168.92,168.92,168.92,168.92,0
25-Nov-09,171.97,172.10,168.05,168.92,6984775
24-Nov-09,171.64,172.00,170.28,171.13,6148648
23-Nov-09,171.67,173.63,171.25,172.00,7932544
20-Nov-09,171.40,172.44,170.01,170.01,8825399
19-Nov-09,175.53,176.20,171.43,172.83,8894028
18-Nov-09,176.47,177.45,175.01,176.90,5959479
17-Nov-09,177.01,178.25,175.50,176.60,7684787
16-Nov-09,177.99,179.38,176.43,177.25,8750093
13-Nov-09,178.89,178.99,175.64,176.76,7637801
12-Nov-09,179.70,181.43,177.79,178.48,7407294
11-Nov-09,178.03,180.84,177.95,179.85,8190593
10-Nov-09,176.40,177.74,175.32,176.51,7248337
9-Nov-09,173.68,176.75,173.50,176.57,10335985
6-Nov-09,171.96,173.95,171.00,171.78,6277412
5-Nov-09,170.98,173.50,169.21,173.40,9017484
4-Nov-09,173.47,174.60,169.02,169.50,11147955
3-Nov-09,168.98,172.16,168.74,171.61,11154179
2-Nov-09,171.59,173.36,165.30,170.68,15806989
30-Oct-09,177.22,177.62,169.68,170.17,13324970
29-Oct-09,174.57,178.58,173.44,178.58,9342817
28-Oct-09,177.91,178.40,171.67,172.16,13589877
27-Oct-09,179.25,180.10,177.40,178.61,10507491
26-Oct-09,180.52,182.45,177.82,179.37,9429570
23-Oct-09,184.03,184.89,179.04,180.36,9222012
22-Oct-09,180.04,183.94,179.56,183.69,10669920
21-Oct-09,185.20,185.50,179.10,179.26,11765777
20-Oct-09,185.19,187.55,184.07,184.96,7388465
19-Oct-09,184.85,186.79,183.01,185.50,7481962
16-Oct-09,186.67,187.65,183.38,184.37,12754734
15-Oct-09,188.62,190.86,187.20,188.63,17838590
14-Oct-09,191.58,193.60,190.40,192.28,15806648
13-Oct-09,186.41,187.80,185.10,187.23,11968518
12-Oct-09,190.86,190.90,188.84,190.15,6190628
9-Oct-09,188.73,189.75,187.92,189.30,6531277
8-Oct-09,191.89,192.17,187.61,188.17,11978083
7-Oct-09,186.51,190.58,186.00,190.48,10587001
6-Oct-09,188.46,189.44,184.60,186.98,13925124
5-Oct-09,180.77,186.65,180.55,186.47,9478034
2-Oct-09,176.45,181.06,175.60,179.61,9232510
